job_id,job_type,company,job_name,start_time,job_link
865502,内推,急招,图森未来 招聘项目管理实习生,2020-05-22,https://bbs.byr.cn/article/ParttimeJob/865502
865472,实习,社招,腾讯CSIG腾讯云音视频部门开发岗,2020-05-22,https://bbs.byr.cn/article/ParttimeJob/865472
865513,实习,悟宝科技,自然语言处理实习生，python后端开发实习,2020-05-22,https://bbs.byr.cn/article/ParttimeJob/865513
865509,实习,小米,招募前端工程师,2020-05-22,https://bbs.byr.cn/article/ParttimeJob/865509
865510,内推,兼职,软件维护，可远程工作,2020-05-22,https://bbs.byr.cn/article/ParttimeJob/865510
865514,实习,快手APP,-（北京）移动端开发实习生,2020-05-22,https://bbs.byr.cn/article/ParttimeJob/865514
865521,实习,滴滴,大数据开发--实习生,2020-05-22,https://bbs.byr.cn/article/ParttimeJob/865521
865404,实习,百度,招聘开发测试工程师（实习生）+一周内安排面试,2020-05-21,https://bbs.byr.cn/article/ParttimeJob/865404
865385,实习,Apple,【 Software Developer Engineer 】,2020-05-21,https://bbs.byr.cn/article/ParttimeJob/865385
865366,实习,小米,推荐系统-数据开发实习生-部门直招,2020-05-21,https://bbs.byr.cn/article/ParttimeJob/865366
865081,实习,百度,百度核心部门招聘后端研发实习生，部门直招,2020-05-18,https://bbs.byr.cn/article/ParttimeJob/865081
865530,实习,小米,商业产品经理实习生,2020-05-16,https://bbs.byr.cn/article/ParttimeJob/865530
